age_calBP,palaeo_co2,palaeo_MGS_temp,modern_co2,modern_MGS_temp,recon_mi,recon_Pann,corr_mi,est_Pann
27480,191.58999999999997,10.988988893920395,311.765,13.5442481884058,1.0492718,780.7094,1.2142380101671362,634.9394466339221
27538,191.38,11.655280606271853,311.765,13.5442481884058,0.6474583,461.6283,0.8580021086201514,497.2681271249085
27596,191.95,11.600494498529738,311.765,13.5442481884058,0.6810894,505.3575,0.8857966356902375,517.7542358807789
27654,191.46,11.745320586857774,311.765,13.5442481884058,0.4442326,349.9552,0.6596326159088475,424.2868325430718
27711,190.61,11.432715223390023,311.765,13.5442481884058,0.599457,457.0705,0.799058893129676,482.35787183336294
27769,188.445,11.454023227555808,311.765,13.5442481884058,0.502499,373.8128,0.7125531185996785,443.1607612163737
27827,189.085,11.585764917754648,311.765,13.5442481884058,0.5776934,456.5127,0.7933688680973559,481.5677005842758
27884,189.93,10.525778451708002,311.765,13.5442481884058,0.3602705,281.2339,0.5083940229965852,341.1969914745077
27942,189.14,11.641609386082857,311.765,13.5442481884058,0.363004,300.4253,0.5814915105686652,379.06697828022493
28000,189.29,11.56374998574191,311.765,13.5442481884058,0.4296742,395.2297,0.6428969397255347,426.7223416803122
28057,189.625,12.32472251606232,311.765,13.5442481884058,0.45088,440.7606,0.709917866540491,471.19996647482594
28115,190.89,11.835897963801138,311.765,13.5442481884058,0.5464824,460.7463,0.7702316605449476,475.85449263333635
28173,190.89,12.137409828281953,311.765,13.5442481884058,0.4296046,358.8882,0.6714843106896756,426.15815992964366
28230,191.70499999999998,10.980490532498441,311.765,13.5442481884058,0.585261,448.2531,0.7520011017181618,459.7097001625643
28288,191.59,11.36716285876474,311.765,13.5442481884058,0.4718032,380.6107,0.6634169859046922,423.81335157354295
28346,192.63,9.629918916749315,311.765,13.5442481884058,0.3877601,294.5171,0.47169504242781396,317.1003594336755
28404,189.16,10.093546453970859,311.765,13.5442481884058,0.3682637,293.387,0.4936838057394589,332.63885046562245
28461,189.65,10.623536098941383,311.765,13.5442481884058,0.5435154,414.5463,0.6968372583665621,437.4851668986593
28519,191.375,10.158902776738906,311.765,13.5442481884058,0.4501274,354.2285,0.569307584563426,365.7108989952019
28577,193.1,11.533163140823675,311.765,13.5442481884058,0.8373257,636.6087,1.0329390576129243,580.0618828982821
28634,192.82,11.37445195978211,311.765,13.5442481884058,0.6235308,474.4443,0.8102970361703195,485.45834654128834
